time, U, V, W
21.294,0.5297656,-0.008391164,-0.0508318581
21.3005,0.5263714,-0.00694772834,-0.04901566
21.307,0.5222397,-0.004949847,-0.0459234752
21.3135,0.516903937,-0.00242613163,-0.04161687
21.32,0.5101632,0.000576370454,-0.0361779556
21.3265,0.502115965,0.003999576,-0.02957492
21.333,0.4931868,0.007552078,-0.0219736751
21.3395,0.483973265,0.0108857732,-0.0137832984
21.346,0.475147545,0.0137034422,-0.00551753771
21.3525,0.467445225,0.0157722086,0.00216688379
21.359,0.461399078,0.0170153342,0.008742517
21.3655,0.4571476,0.01749113,0.0139987413
21.372,0.454676539,0.0173191428,0.0178341884
21.3785,0.453809172,0.0167005025,0.020320544
21.385,0.454286247,0.015897058,0.0216846634
21.3915,0.455854326,0.0150646139,0.0222477447
21.398,0.45822522,0.0142717,0.02233433
21.4045,0.461069882,0.0135242958,0.02220956
21.411,0.464004219,0.0128007829,0.0220516846
21.4175,0.466804028,0.0121274181,0.0218270719
21.424,0.469242245,0.011519732,0.02149288
21.4305,0.4711505,0.010979848,0.02100488
21.437,0.4724645,0.0105088856,0.02031154
21.4435,0.473073184,0.010092061,0.0195148475
21.45,0.4728797,0.009754777,0.0187571235
21.4565,0.47179994,0.009549593,0.01819507
21.463,0.469685555,0.009541646,0.0180049315
21.4695,0.4666713,0.009810155,0.0182371978
21.476,0.462936044,0.0103866179,0.0188842826
21.4825,0.4585807,0.0112663973,0.0199287049
21.489,0.453679651,0.0124298064,0.0213539638
21.4955,0.448250264,0.013864805,0.0231248662
21.502,0.442372173,0.0155500043,0.02512104
21.5085,0.4362159,0.0174242333,0.0271801017
21.515,0.429971516,0.0194024853,0.0291185565
21.5215,0.4238527,0.0213613138,0.0308001451
21.528,0.418029,0.0231121983,0.03222824
21.5345,0.412622482,0.0245218873,0.0334057957
21.541,0.407679439,0.0254897885,0.03430905
21.5475,0.4031813,0.0259624943,0.0348331071
21.554,0.399083674,0.0259812567,0.0349816
21.5605,0.39549005,0.0255867578,0.0347313
21.567,0.392563224,0.02482574,0.03405124
21.5735,0.3903744,0.0236507133,0.03283356
21.58,0.389169216,0.02226576,0.0311397091
21.5865,0.389196157,0.02077989,0.0290551521
21.593,0.390694976,0.0192338713,0.026671581
21.5995,0.3938111,0.0176186673,0.0241096374
